"","Ctrl2","Ctrl8","P18","P19","P20","P21","P22","P23"
"RPL12",1140.36453533343,1348.91854394936,279.606301922535,966.182361620589,455.396670683734,551.086929510892,397.289234444972,809.049987575394
"DNM3",30.0729044128013,5.07271154101922,0,2.93672450340604,0,0,0,1.87714614286634
"ZNF121",200.027775637147,159.367687580354,81.0028728082737,63.4332492735706,101.474258141484,182.177497358972,211.919197848332,100.427318643349
"MPZL1",56.5370602960665,71.0179615742691,57.5803553697367,39.9394532463222,104.444236428552,73.8469498222978,52.6242303381765,96.2037398219001
"VPS13A",240.411390134338,142.45864911029,56.1164480298282,153.884363978477,138.103990348654,306.448575914557,141.516511314826,195.2231988581
"MBP",119.43239181084,83.2770144650655,79.0509963550623,108.071461725342,118.304135101535,68.9671954287539,98.6111703634298,76.0244187860869
"C1orf122",5.84273571448712,8.45451923503203,5.85562935963424,3.52406940408725,0.494996381177971,4.55443743397431,12.3263962954287,3.2850057500161
"CLEC9A",34.0253432784838,7.60906731152883,0,0,3.4649746682458,0,17.5414101127255,0
"KEL",14.0913037819983,15.2181346230577,43.429251083954,0,16.3348805788731,1.62658479784797,9.71888938678034,2.81571921429952
"NOL8",148.302380047129,209.249351067043,108.817112266536,68.1320084790202,83.1593920378992,100.197623547435,136.064451414925,94.3265936790338
"IRAK4",47.4292663881895,51.5725673336954,45.3811275371654,55.7977655647148,56.9245838354667,23.7481380485803,0,17.8328883572303
"MRPL42",238.692938453606,109.908750055416,223.001884779404,139.788086362128,87.6143594685009,346.137244982048,228.51242363064,132.338803072077
"ENTPD7",9.62332941209643,6.34088942627403,0,5.28610410613088,2.96997828706783,5.85570527225269,2.37046082604399,21.587180642963
"ZNF335",21.8243363452901,57.9134567599694,28.7901776848684,106.309427023299,34.15475030128,11.3860935849358,29.6307603255498,85.4101495004186
"RPS4X",2993.37098266621,3284.58072280995,1279.94298419338,1959.96993357319,1579.03845595773,1954.82961005369,1420.38012696556,3396.22665898093
"ZNF273",43.8205178586534,20.2908461640769,17.5668880789027,21.7317613252047,13.3649022918052,55.9545170459701,0.237046082604398,15.9557422143639
"ZNF84",110.840133407182,87.9270000443332,0.975938226605707,78.704216691282,51.479623642509,141.187560453204,20.1489170213739,84.9408629647021
"MAK16",29.3855237405087,14.3726826995545,29.2781467981712,32.8913144381477,12.3749095294493,48.4722269758695,25.3639308386706,12.2014499286312
"ZNF667",22.855407353729,49.4589375249374,0,18.7950368217987,18.3148661035849,21.1456023720236,20.1489170213739,4.22357882144927
"SIRPA",7.04565189099917,14.7954086613061,38.0615908376226,4.69875920544967,8.90993486120348,8.13292398923984,53.3353685859897,11.7321633929147
"GRK6",12.0291617651205,47.768033677931,60.9961391628567,97.4992535130807,60.8845548848905,9.43419182751822,4.97796773469237,73.677986107504
"PRIM1",60.8331894978953,13.9499567378029,33.181899704594,0,22.2748371530087,43.9177895418951,42.4312487861873,9.85501725004831
"MARCHF5",121.666378995791,81.5861106180591,30.7420541380798,49.3369716572215,46.5296598307293,96.6191369921693,89.3663731418582,77.4322783932367
"NPIPB13",1.0310710084389,3.80453365576442,5.85562935963424,3.52406940408725,1.48498914353391,3.90380351483512,4.02978340427477,7.03929803574879
"SULT1C4",8.76410357173067,5.91816346452242,0,10.5722082122618,0,0,39.823741877539,4.69286535716586
"ZBTB14",42.273911345995,15.2181346230577,14.6390733990856,38.1774185442786,24.7498190588986,75.4735346201457,102.4039076851,12.2014499286312
"CD2AP",213.775389082999,79.8952067710527,158.101992710125,123.929774043735,227.203338960689,432.02092230842,131.323529762837,264.208319608438
"SFI1",8.07672289943807,53.2634711807018,95.6419462073593,130.97791285191,43.5596815436615,13.9886292614925,20.1489170213739,53.0293785359742
"ZNF649",23.0272525218022,0,0,0.587344900681209,6.43495295531363,4.22912047440472,0,4.69286535716586
"ZNF248",41.5865306737024,65.9452500332499,14.6390733990856,27.6052103320168,22.2748371530087,13.0126783827837,15.4079953692859,48.8057997145249
"TOR4A",9.27963907595013,10.56814904379,2.92781467981712,20.5570715238423,11.3849167670933,0,25.3639308386706,1.40785960714976
"HIBCH",91.2497842468429,73.9770433065303,69.2916140890052,59.9091798694833,22.7698335341867,24.7240889272891,32.712359399407,47.8672266430918
"ZNF544",11.6854714289742,9.72269712028684,20.9826718720227,17.0330021197551,33.659753920102,5.2050713531135,40.0607879601433,4.22357882144927
"TMEM229B",9.96701974824273,20.7135721258285,0,9.39751841089934,0,12.6873614232142,0.237046082604398,13.1400230000644
"ZNF770",7.56118739521862,15.2181346230577,31.2300232513826,2.93672450340604,4.94996381177971,12.036727504075,25.600976921275,16.8943152857971
"HMGN5",133.008160088618,143.726826995545,11.7112587192685,115.119600533517,32.1747647765681,79.3773381349808,27.0232534169014,88.2258687147182
"MIER1",313.445586565426,95.9587933176136,346.458070445026,159.170468084608,172.753737031112,765.145488907684,355.332077823993,143.601679929275
"MAN1A2",140.74119265191,106.104216399652,52.7006642367082,124.517118944416,163.843802169908,208.20285412454,78.4622533420559,99.4887455719162
"SVIP",136.445063450081,75.2452211917851,76.611150788548,54.6230757633524,59.8945621225345,185.105349995099,52.3871842555721,94.7958802147504
"DDRGK1",13.5757682777789,30.0135432843637,7.80750581284566,11.7468980136242,33.1647575389241,1.30126783827837,31.7641750689894,20.1793210358132
"TFDP1",246.254125848825,135.695033722264,349.385885124843,101.610667817849,406.887025328292,446.985502448622,95.5295712895726,179.736743179452
"CLEC4C",5.84273571448712,1.69090384700641,119.064463645896,8.81017351021813,25.7398118212545,37.0861333909337,1.42227649562639,52.5600920002576
"ZNF607",1.54660651265835,9.29997115853524,23.422517438537,18.2076919211175,0.494996381177971,0.325316959569594,18.9636866083519,7.03929803574879
"ZNF334",34.7127239507764,35.9317067488861,0,29.3672450340604,24.7498190588986,14.3139462210621,27.7343916647146,10.3243037857649
"HSD17B11",268.078462194115,109.908750055416,71.2434905422166,44.0508675510907,55.9345910731108,147.693899644596,73.7213316899679,76.9629918575201
"SZT2",26.9796913874846,20.2908461640769,127.359938572045,29.9545899347417,34.649746682458,2.92785263612634,172.332502053398,21.1178941072464
"ZXDA",0.343690336146301,3.80453365576442,0,6.4607939074933,0,15.6152140593405,0,0.938573071433172
"RPS6KL1",17.3563619753882,10.1454230820384,2.43984556651427,46.9875920544967,8.41493848002551,5.85570527225269,18.0155022779343,18.7714614286634
"QRICH1",96.7488296251837,161.904043350863,190.795923301416,106.309427023299,122.759102532137,93.3659673964734,55.7058294120337,127.176651179195
"DDX42",83.8604420196974,158.944961618602,75.1472434486394,158.583123183926,121.769109769781,94.6672352347518,121.130548210848,137.970241500676
"RPL23A",143.662560509154,113.290557749429,59.0442627096453,113.357565831473,67.3195078402041,160.706578027379,79.8845298376823,92.4494475361674
"SLC29A3",10.310710084389,5.49543750277082,12.6871969458742,0,10.3949240047374,8.45824094880943,4.74092165208797,2.34643267858293
"STYX",67.8788413888944,29.1680913608605,16.1029807389942,47.5749369551779,34.15475030128,128.825515989559,10.6670737171979,28.6264786787117
"UBL5",174.938381098467,180.081259706182,107.841174039931,220.254337755453,98.5042798544163,212.757291558514,142.701741727848,169.412439393688
"HELZ",179.234510300296,121.745076984461,77.5870890151537,175.028780403,134.14401929923,194.214224863047,168.065672566519,88.6951552504348
"TMEM116",12.3728521012668,19.0226682788221,13.175166059177,20.5570715238423,12.3749095294493,0.975950878708781,0,11.2628768571981
"UCKL1",26.4641558832652,45.2316779074214,8.78344403945136,49.3369716572215,52.469616404865,18.5430666954668,76.8029307638251,42.2357882144927
"CARD11",6.87380672292602,18.1772163553189,204.947027587198,238.462029676571,103.454243666196,7.80760702967025,48.1203547686929,70.8622668932045
"ZNF485",6.18642605063342,11.8363269290448,13.175166059177,1.17468980136242,3.95997104942377,7.15697311053106,0,1.87714614286634
