gene_symbol,logFC,logCPM,F,PValue,FDR
MEF2A,2.1026065549715014,7.106509140505492,13.89859120980397,0.001504978131952839,0.22038899764317374
PBX1,-2.436166240364373,6.470775600829019,13.84991719161152,0.0015343161705135965,0.22163966713276642
PDZD8,-2.064582610865679,7.077445024383832,13.798375568187302,0.0015538791194776487,0.22163966713276642
PPM1H,-2.9802188912840273,4.16133945454823,13.181070375727938,0.001617811378007314,0.2278002867263376
GUCY1B1,-3.2074405167470057,5.111961559711377,13.418908673248916,0.0016625911616144553,0.23114226237989322
ACSM3,-3.504104648033124,4.324611051290955,12.899109786680052,0.0017067581468028271,0.2343165590791931
RHCE,5.122411894858942,4.569545463802863,13.107579780397703,0.0017737740932552372,0.2405106279780527
FBN1,-3.263711850125448,4.59950976074974,12.89637196982354,0.0018402428335385784,0.24513169147265776
HOXB3,-2.7641199668179577,4.475839515766437,12.98082901167014,0.00185249297935269,0.24513169147265776
LMO2,-1.8646363072570915,7.458953979309676,12.97783764771686,0.0019948107399243857,0.25976305714015974
IFIT1B,8.042566396696845,8.400233582497453,12.639387903751949,0.0020103669176831083,0.25976305714015974
FREM1,-3.159896817088469,4.508566791553656,12.443021538902743,0.0021151210664730833,0.263953107274524
APOC1,-2.810173823825517,2.952866073386507,11.739163740240818,0.0021239878995635997,0.263953107274524
PLSCR4,-3.4923038818239824,3.7722972662491716,11.956027525327636,0.002132210329863365,0.263953107274524
CCDC175,-3.8378128294353866,2.1773655636500617,11.99945252109064,0.002157352061492906,0.263953107274524
CD40LG,-5.5154094929290896,1.8292654708089353,13.633414440429814,0.0021777278892147964,0.263953107274524
ATP10A,3.356930970670199,5.745363773659835,12.615668777756484,0.0022041017065715,0.263953107274524
PEAR1,-3.7905910319777067,2.260591731957226,11.817164134186866,0.002230507474676142,0.263953107274524
STXBP5,-1.760359429772309,6.557863831744704,12.62234067875639,0.002235057723439018,0.263953107274524
PLPPR2,-3.853164298655483,2.9150209005247105,11.42680085890034,0.0022797362066223413,0.26439580700324905
CDH7,-5.200407433305718,1.95789593023186,13.190677337016712,0.0022970586108125943,0.26439580700324905
RTL8B,-7.825210654043784,1.6987348827408246,14.07418389384072,0.0023110259011483118,0.26439580700324905
ALAS2,8.629024849423788,11.077374599853446,12.326553492365285,0.002415136323608371,0.27345816744526535
LGALS3,6.227447831676448,6.985174608630269,12.071631516958881,0.002456407472910442,0.275293094642606
TMCC2,6.209388499555598,8.017180385660643,12.173187492252856,0.0024929460274075547,0.2765659214042139
CXADR,-2.7961244770875373,4.6819240911297255,12.062931271068571,0.002530924769478555,0.27722021267155067
LSP1,2.8436349436995747,6.964791603202707,12.199406642723467,0.0025493254556884838,0.27722021267155067
GATM,-3.021851720154753,3.149496303253198,11.253017338479086,0.0026062319827446978,0.27882412390263644
RPS6KB2,4.632875258411738,4.419587323178108,11.844281449566445,0.00263417837522045,0.27882412390263644
SLC1A6,-5.890771896748106,1.8170804580048983,13.15187068006378,0.0026560160226707296,0.27882412390263644
MED12L,-2.4649774757144423,4.710124235684281,11.963114288558181,0.0026656225994515915,0.27882412390263644
CXCL3,-3.4996098322625833,3.2742837387557366,10.95483180253646,0.002756529417758772,0.28561285467211883
SFMBT2,1.9682506094930634,7.0037307867742244,11.666271086928177,0.0030285231781729417,0.31086233706423755
DTX3,-2.919276560402229,4.519315627102117,11.402650275028302,0.0030641268241445915,0.31160467508870415
CCDC126,-2.600322151996329,2.9509664126998096,10.707524764410792,0.003226562767931355,0.32146239833929885
IL16,2.5485820504073295,5.864793905118991,11.444626379329126,0.003255329331542741,0.32146239833929885
CRACD,-3.8805383778111477,2.1884937479484496,10.823909014697648,0.0032755056379016635,0.32146239833929885
MX1,3.1757684319449035,5.996436322226109,11.408961573493215,0.0032781379053083374,0.32146239833929885
SH2D3C,2.2918594308085587,6.7432606058739335,11.337278030126045,0.00337572498060464,0.3281025439113342
FMO4,-3.8867466500603225,2.5913511483727274,10.463432384457102,0.0034425591065331594,0.3289533507425287
EBF1,3.057179600583601,7.811004464681306,11.273321374557174,0.003444380891868415,0.3289533507425287
